year,gender,offense,state,value
2010,Male,aggravated-assault,AL,13
2011,Male,aggravated-assault,AL,11
2012,Male,aggravated-assault,AL,15
2013,Male,aggravated-assault,AL,21
2014,Male,aggravated-assault,AL,25
2015,Male,aggravated-assault,AL,40
2016,Male,aggravated-assault,AL,32
2017,Male,aggravated-assault,AL,25
2018,Male,aggravated-assault,AL,9
2010,Female,aggravated-assault,AL,8
2011,Female,aggravated-assault,AL,6
2012,Female,aggravated-assault,AL,10
2013,Female,aggravated-assault,AL,4
2014,Female,aggravated-assault,AL,6
2015,Female,aggravated-assault,AL,8
2016,Female,aggravated-assault,AL,10
2017,Female,aggravated-assault,AL,6
2018,Female,aggravated-assault,AL,2
2010,Unknown,aggravated-assault,AL,0
2011,Unknown,aggravated-assault,AL,0
2012,Unknown,aggravated-assault,AL,0
2013,Unknown,aggravated-assault,AL,1
2014,Unknown,aggravated-assault,AL,0
2015,Unknown,aggravated-assault,AL,0
2016,Unknown,aggravated-assault,AL,0
2017,Unknown,aggravated-assault,AL,0
2018,Unknown,aggravated-assault,AL,4
2010,Male,burglary,AL,135
2011,Male,burglary,AL,155
2012,Male,burglary,AL,145
2013,Male,burglary,AL,95
2014,Male,burglary,AL,124
2015,Male,burglary,AL,101
2016,Male,burglary,AL,68
2017,Male,burglary,AL,64
2018,Male,burglary,AL,45
2010,Female,burglary,AL,24
2011,Female,burglary,AL,25
2012,Female,burglary,AL,29
2013,Female,burglary,AL,12
2014,Female,burglary,AL,8
2015,Female,burglary,AL,16
2016,Female,burglary,AL,12
2017,Female,burglary,AL,19
2018,Female,burglary,AL,4
2010,Unknown,burglary,AL,0
2011,Unknown,burglary,AL,12
2012,Unknown,burglary,AL,3
2013,Unknown,burglary,AL,0
2014,Unknown,burglary,AL,0
2015,Unknown,burglary,AL,1
2016,Unknown,burglary,AL,1
2017,Unknown,burglary,AL,2
2018,Unknown,burglary,AL,99
2010,Male,larceny,AL,568
2011,Male,larceny,AL,513
2012,Male,larceny,AL,698
2013,Male,larceny,AL,671
2014,Male,larceny,AL,782
2015,Male,larceny,AL,727
2016,Male,larceny,AL,238
2017,Male,larceny,AL,142
2018,Male,larceny,AL,190
2010,Female,larceny,AL,517
2011,Female,larceny,AL,541
2012,Female,larceny,AL,525
2013,Female,larceny,AL,700
2014,Female,larceny,AL,623
2015,Female,larceny,AL,756
2016,Female,larceny,AL,215
2017,Female,larceny,AL,125
2018,Female,larceny,AL,137
2010,Unknown,larceny,AL,4
2011,Unknown,larceny,AL,10
2012,Unknown,larceny,AL,6
2013,Unknown,larceny,AL,6
2014,Unknown,larceny,AL,3
2015,Unknown,larceny,AL,12
2016,Unknown,larceny,AL,11
2017,Unknown,larceny,AL,5
2018,Unknown,larceny,AL,454
2010,Male,motor-vehicle-theft,AL,49
2011,Male,motor-vehicle-theft,AL,44
2012,Male,motor-vehicle-theft,AL,38
2013,Male,motor-vehicle-theft,AL,49
2014,Male,motor-vehicle-theft,AL,34
2015,Male,motor-vehicle-theft,AL,17
2016,Male,motor-vehicle-theft,AL,16
2017,Male,motor-vehicle-theft,AL,19
2018,Male,motor-vehicle-theft,AL,10
2010,Female,motor-vehicle-theft,AL,17
2011,Female,motor-vehicle-theft,AL,15
2012,Female,motor-vehicle-theft,AL,17
2013,Female,motor-vehicle-theft,AL,14
2014,Female,motor-vehicle-theft,AL,7
2015,Female,motor-vehicle-theft,AL,5
2016,Female,motor-vehicle-theft,AL,3
2017,Female,motor-vehicle-theft,AL,2
2018,Female,motor-vehicle-theft,AL,3
2010,Unknown,motor-vehicle-theft,AL,2
2011,Unknown,motor-vehicle-theft,AL,0
2012,Unknown,motor-vehicle-theft,AL,0
2013,Unknown,motor-vehicle-theft,AL,2
2014,Unknown,motor-vehicle-theft,AL,0
2015,Unknown,motor-vehicle-theft,AL,0
2016,Unknown,motor-vehicle-theft,AL,1
2017,Unknown,motor-vehicle-theft,AL,1
2018,Unknown,motor-vehicle-theft,AL,42
2010,Male,homicide,AL,3
2012,Male,homicide,AL,2
2013,Male,homicide,AL,1
2014,Male,homicide,AL,1
2015,Male,homicide,AL,3
2016,Male,homicide,AL,4
2017,Male,homicide,AL,3
2018,Male,homicide,AL,2
2010,Female,homicide,AL,0
2012,Female,homicide,AL,0
2013,Female,homicide,AL,1
2014,Female,homicide,AL,0
2015,Female,homicide,AL,0
2016,Female,homicide,AL,0
2017,Female,homicide,AL,0
2018,Female,homicide,AL,0
2010,Unknown,homicide,AL,0
2012,Unknown,homicide,AL,0
2013,Unknown,homicide,AL,0
2014,Unknown,homicide,AL,0
2015,Unknown,homicide,AL,0
2016,Unknown,homicide,AL,0
2017,Unknown,homicide,AL,0
2018,Unknown,homicide,AL,2
2010,Male,rape,AL,4
2011,Male,rape,AL,7
2012,Male,rape,AL,18
2013,Male,rape,AL,13
2014,Male,rape,AL,17
2015,Male,rape,AL,22
2016,Male,rape,AL,21
2017,Male,rape,AL,21
2018,Male,rape,AL,15
2010,Female,rape,AL,0
2011,Female,rape,AL,0
2012,Female,rape,AL,0
2013,Female,rape,AL,0
2014,Female,rape,AL,0
2015,Female,rape,AL,0
2016,Female,rape,AL,0
2017,Female,rape,AL,0
2018,Female,rape,AL,0
2010,Unknown,rape,AL,0
2011,Unknown,rape,AL,0
2012,Unknown,rape,AL,0
2013,Unknown,rape,AL,0
2014,Unknown,rape,AL,0
2015,Unknown,rape,AL,0
2016,Unknown,rape,AL,0
2017,Unknown,rape,AL,0
2018,Unknown,rape,AL,0
2010,Male,robbery,AL,70
2011,Male,robbery,AL,55
2012,Male,robbery,AL,63
2013,Male,robbery,AL,49
2014,Male,robbery,AL,57
2015,Male,robbery,AL,63
2016,Male,robbery,AL,47
2017,Male,robbery,AL,38
2018,Male,robbery,AL,28
2010,Female,robbery,AL,9
2011,Female,robbery,AL,8
2012,Female,robbery,AL,10
2013,Female,robbery,AL,3
2014,Female,robbery,AL,11
2015,Female,robbery,AL,5
2016,Female,robbery,AL,10
2017,Female,robbery,AL,4
2018,Female,robbery,AL,4
2010,Unknown,robbery,AL,0
2011,Unknown,robbery,AL,0
2012,Unknown,robbery,AL,0
2013,Unknown,robbery,AL,1
2014,Unknown,robbery,AL,0
2015,Unknown,robbery,AL,1
2016,Unknown,robbery,AL,0
2017,Unknown,robbery,AL,0
2018,Unknown,robbery,AL,3
2010,Male,arson,AL,2
2011,Male,arson,AL,2
2012,Male,arson,AL,1
2013,Male,arson,AL,0
2014,Male,arson,AL,1
2015,Male,arson,AL,0
2016,Male,arson,AL,2
2017,Male,arson,AL,1
2010,Female,arson,AL,0
2011,Female,arson,AL,0
2012,Female,arson,AL,1
2013,Female,arson,AL,0
2014,Female,arson,AL,0
2015,Female,arson,AL,0
2016,Female,arson,AL,1
2017,Female,arson,AL,0
2010,Unknown,arson,AL,0
2011,Unknown,arson,AL,0
2012,Unknown,arson,AL,0
2013,Unknown,arson,AL,0
2014,Unknown,arson,AL,0
2015,Unknown,arson,AL,0
2016,Unknown,arson,AL,0
2017,Unknown,arson,AL,0
2010,Male,violent-crime,AL,90
2011,Male,violent-crime,AL,73
2012,Male,violent-crime,AL,98
2013,Male,violent-crime,AL,84
2014,Male,violent-crime,AL,100
2015,Male,violent-crime,AL,128
2016,Male,violent-crime,AL,104
2017,Male,violent-crime,AL,87
2018,Male,violent-crime,AL,54
2010,Female,violent-crime,AL,17
2011,Female,violent-crime,AL,14
2012,Female,violent-crime,AL,20
2013,Female,violent-crime,AL,8
2014,Female,violent-crime,AL,17
2015,Female,violent-crime,AL,13
2016,Female,violent-crime,AL,20
2017,Female,violent-crime,AL,10
2018,Female,violent-crime,AL,6
2010,Unknown,violent-crime,AL,0
2011,Unknown,violent-crime,AL,0
2012,Unknown,violent-crime,AL,0
2013,Unknown,violent-crime,AL,2
2014,Unknown,violent-crime,AL,0
2015,Unknown,violent-crime,AL,1
2016,Unknown,violent-crime,AL,0
2017,Unknown,violent-crime,AL,0
2018,Unknown,violent-crime,AL,9
2010,Male,property-crime,AL,754
2011,Male,property-crime,AL,714
2012,Male,property-crime,AL,882
2013,Male,property-crime,AL,815
2014,Male,property-crime,AL,941
2015,Male,property-crime,AL,845
2016,Male,property-crime,AL,324
2017,Male,property-crime,AL,226
2018,Male,property-crime,AL,245
2010,Female,property-crime,AL,558
2011,Female,property-crime,AL,581
2012,Female,property-crime,AL,572
2013,Female,property-crime,AL,726
2014,Female,property-crime,AL,638
2015,Female,property-crime,AL,777
2016,Female,property-crime,AL,231
2017,Female,property-crime,AL,146
2018,Female,property-crime,AL,144
2010,Unknown,property-crime,AL,6
2011,Unknown,property-crime,AL,22
2012,Unknown,property-crime,AL,9
2013,Unknown,property-crime,AL,8
2014,Unknown,property-crime,AL,3
2015,Unknown,property-crime,AL,13
2016,Unknown,property-crime,AL,13
2017,Unknown,property-crime,AL,8
2018,Unknown,property-crime,AL,595
2010,Male,aggravated-assault,AR,7362
2011,Male,aggravated-assault,AR,7223
2012,Male,aggravated-assault,AR,7093
2013,Male,aggravated-assault,AR,6589
2014,Male,aggravated-assault,AR,6604
2015,Male,aggravated-assault,AR,7591
2016,Male,aggravated-assault,AR,7584
2017,Male,aggravated-assault,AR,7573
2018,Male,aggravated-assault,AR,7715
2010,Female,aggravated-assault,AR,2317
2011,Female,aggravated-assault,AR,2377
2012,Female,aggravated-assault,AR,2221
2013,Female,aggravated-assault,AR,2030
2014,Female,aggravated-assault,AR,2148
2015,Female,aggravated-assault,AR,2420
2016,Female,aggravated-assault,AR,2461
2017,Female,aggravated-assault,AR,2378
2018,Female,aggravated-assault,AR,2663
2010,Unknown,aggravated-assault,AR,507
2011,Unknown,aggravated-assault,AR,651
2012,Unknown,aggravated-assault,AR,658
2013,Unknown,aggravated-assault,AR,718
2014,Unknown,aggravated-assault,AR,755
2015,Unknown,aggravated-assault,AR,821
2016,Unknown,aggravated-assault,AR,835
2017,Unknown,aggravated-assault,AR,944
2018,Unknown,aggravated-assault,AR,825
2010,Male,burglary,AR,9523
2011,Male,burglary,AR,10239
2012,Male,burglary,AR,10526
2013,Male,burglary,AR,9592
2014,Male,burglary,AR,8041
2015,Male,burglary,AR,7593
2016,Male,burglary,AR,7817
2017,Male,burglary,AR,7266
2018,Male,burglary,AR,6614
2010,Female,burglary,AR,1881
2011,Female,burglary,AR,1960
2012,Female,burglary,AR,2149
2013,Female,burglary,AR,2020
2014,Female,burglary,AR,2024
2015,Female,burglary,AR,1980
2016,Female,burglary,AR,2043
2017,Female,burglary,AR,1950
2018,Female,burglary,AR,1933
2010,Unknown,burglary,AR,13145
2011,Unknown,burglary,AR,15227
2012,Unknown,burglary,AR,14494
2013,Unknown,burglary,AR,12831
2014,Unknown,burglary,AR,10413
2015,Unknown,burglary,AR,9649
2016,Unknown,burglary,AR,10286
2017,Unknown,burglary,AR,9176
2018,Unknown,burglary,AR,8126
2010,Male,larceny,AR,24322
2011,Male,larceny,AR,27615
2012,Male,larceny,AR,28540
2013,Male,larceny,AR,27832
2014,Male,larceny,AR,26358
2015,Male,larceny,AR,25720
2016,Male,larceny,AR,23640
2017,Male,larceny,AR,22478
2018,Male,larceny,AR,22277
2010,Female,larceny,AR,13751
2011,Female,larceny,AR,14839
2012,Female,larceny,AR,15859
2013,Female,larceny,AR,16349
2014,Female,larceny,AR,16481
2015,Female,larceny,AR,16518
2016,Female,larceny,AR,14557
2017,Female,larceny,AR,13472
2018,Female,larceny,AR,14292
2010,Unknown,larceny,AR,24853
2011,Unknown,larceny,AR,27245
2012,Unknown,larceny,AR,27341
2013,Unknown,larceny,AR,25916
2014,Unknown,larceny,AR,24217
2015,Unknown,larceny,AR,22900
2016,Unknown,larceny,AR,23954
2017,Unknown,larceny,AR,23874
2018,Unknown,larceny,AR,22076
2010,Male,motor-vehicle-theft,AR,1747
2011,Male,motor-vehicle-theft,AR,1761
2012,Male,motor-vehicle-theft,AR,2001
2013,Male,motor-vehicle-theft,AR,1948
2014,Male,motor-vehicle-theft,AR,2082
2015,Male,motor-vehicle-theft,AR,2001
2016,Male,motor-vehicle-theft,AR,2513
2017,Male,motor-vehicle-theft,AR,2676
2018,Male,motor-vehicle-theft,AR,2799
2010,Female,motor-vehicle-theft,AR,409
2011,Female,motor-vehicle-theft,AR,408
2012,Female,motor-vehicle-theft,AR,486
2013,Female,motor-vehicle-theft,AR,534
2014,Female,motor-vehicle-theft,AR,565
2015,Female,motor-vehicle-theft,AR,637
2016,Female,motor-vehicle-theft,AR,716
2017,Female,motor-vehicle-theft,AR,813
2018,Female,motor-vehicle-theft,AR,879
2010,Unknown,motor-vehicle-theft,AR,2324
2011,Unknown,motor-vehicle-theft,AR,2621
2012,Unknown,motor-vehicle-theft,AR,2537
2013,Unknown,motor-vehicle-theft,AR,2491
2014,Unknown,motor-vehicle-theft,AR,2250
2015,Unknown,motor-vehicle-theft,AR,2182
2016,Unknown,motor-vehicle-theft,AR,2870
2017,Unknown,motor-vehicle-theft,AR,2949
2018,Unknown,motor-vehicle-theft,AR,2856
2010,Male,homicide,AR,115
2011,Male,homicide,AR,135
2012,Male,homicide,AR,177
2013,Male,homicide,AR,150
2014,Male,homicide,AR,156
2015,Male,homicide,AR,178
2016,Male,homicide,AR,202
2017,Male,homicide,AR,229
2018,Male,homicide,AR,204
2010,Female,homicide,AR,15
2011,Female,homicide,AR,26
2012,Female,homicide,AR,27
2013,Female,homicide,AR,16
2014,Female,homicide,AR,29
2015,Female,homicide,AR,32
2016,Female,homicide,AR,28
2017,Female,homicide,AR,33
2018,Female,homicide,AR,29
2010,Unknown,homicide,AR,20
2011,Unknown,homicide,AR,26
2012,Unknown,homicide,AR,28
2013,Unknown,homicide,AR,20
2014,Unknown,homicide,AR,23
2015,Unknown,homicide,AR,20
2016,Unknown,homicide,AR,28
2017,Unknown,homicide,AR,43
2018,Unknown,homicide,AR,34
2010,Male,rape,AR,1503
2011,Male,rape,AR,1505
2012,Male,rape,AR,1518
2013,Male,rape,AR,1369
2014,Male,rape,AR,1574
2015,Male,rape,AR,1734
2016,Male,rape,AR,1882
2017,Male,rape,AR,1858
2018,Male,rape,AR,1963
2010,Female,rape,AR,58
2011,Female,rape,AR,79
2012,Female,rape,AR,64
2013,Female,rape,AR,66
2014,Female,rape,AR,96
2015,Female,rape,AR,107
2016,Female,rape,AR,100
2017,Female,rape,AR,105
2018,Female,rape,AR,126
2010,Unknown,rape,AR,126
2011,Unknown,rape,AR,134
2012,Unknown,rape,AR,136
2013,Unknown,rape,AR,129
2014,Unknown,rape,AR,169
2015,Unknown,rape,AR,191
2016,Unknown,rape,AR,218
2017,Unknown,rape,AR,164
2018,Unknown,rape,AR,182
2010,Male,robbery,AR,2687
2011,Male,robbery,AR,2457
2012,Male,robbery,AR,2323
2013,Male,robbery,AR,2154
2014,Male,robbery,AR,1886
2015,Male,robbery,AR,1998
2016,Male,robbery,AR,1984
2017,Male,robbery,AR,1774
2018,Male,robbery,AR,1523
2010,Female,robbery,AR,306
2011,Female,robbery,AR,267
2012,Female,robbery,AR,265
2013,Female,robbery,AR,295
2014,Female,robbery,AR,304
2015,Female,robbery,AR,286
2016,Female,robbery,AR,285
2017,Female,robbery,AR,306
2018,Female,robbery,AR,249
2010,Unknown,robbery,AR,319
2011,Unknown,robbery,AR,622
2012,Unknown,robbery,AR,778
2013,Unknown,robbery,AR,898
2014,Unknown,robbery,AR,894
2015,Unknown,robbery,AR,832
2016,Unknown,robbery,AR,780
2017,Unknown,robbery,AR,504
2018,Unknown,robbery,AR,443
2010,Male,arson,AR,216
2011,Male,arson,AR,279
2012,Male,arson,AR,214
2013,Male,arson,AR,198
2014,Male,arson,AR,201
2015,Male,arson,AR,234
2016,Male,arson,AR,220
2017,Male,arson,AR,254
2018,Male,arson,AR,244
2010,Female,arson,AR,56
2011,Female,arson,AR,47
2012,Female,arson,AR,58
2013,Female,arson,AR,55
2014,Female,arson,AR,51
2015,Female,arson,AR,76
2016,Female,arson,AR,57
2017,Female,arson,AR,55
2018,Female,arson,AR,77
2010,Unknown,arson,AR,230
2011,Unknown,arson,AR,262
2012,Unknown,arson,AR,217
2013,Unknown,arson,AR,190
2014,Unknown,arson,AR,190
2015,Unknown,arson,AR,187
2016,Unknown,arson,AR,202
2017,Unknown,arson,AR,206
2018,Unknown,arson,AR,176
2010,Male,violent-crime,AR,11667
2011,Male,violent-crime,AR,11320
2012,Male,violent-crime,AR,11111
2013,Male,violent-crime,AR,10262
2014,Male,violent-crime,AR,10220
2015,Male,violent-crime,AR,11501
2016,Male,violent-crime,AR,11652
2017,Male,violent-crime,AR,11434
2018,Male,violent-crime,AR,11405
2010,Female,violent-crime,AR,2696
2011,Female,violent-crime,AR,2749
2012,Female,violent-crime,AR,2577
2013,Female,violent-crime,AR,2407
2014,Female,violent-crime,AR,2577
2015,Female,violent-crime,AR,2845
2016,Female,violent-crime,AR,2874
2017,Female,violent-crime,AR,2822
2018,Female,violent-crime,AR,3067
2010,Unknown,violent-crime,AR,972
2011,Unknown,violent-crime,AR,1433
2012,Unknown,violent-crime,AR,1600
2013,Unknown,violent-crime,AR,1765
2014,Unknown,violent-crime,AR,1841
2015,Unknown,violent-crime,AR,1864
2016,Unknown,violent-crime,AR,1861
2017,Unknown,violent-crime,AR,1655
2018,Unknown,violent-crime,AR,1484
2010,Male,property-crime,AR,35808
2011,Male,property-crime,AR,39894
2012,Male,property-crime,AR,41281
2013,Male,property-crime,AR,39570
2014,Male,property-crime,AR,36682
2015,Male,property-crime,AR,35548
2016,Male,property-crime,AR,34190
2017,Male,property-crime,AR,32674
2018,Male,property-crime,AR,31934
2010,Female,property-crime,AR,16097
2011,Female,property-crime,AR,17254
2012,Female,property-crime,AR,18552
2013,Female,property-crime,AR,18958
2014,Female,property-crime,AR,19121
2015,Female,property-crime,AR,19211
2016,Female,property-crime,AR,17373
2017,Female,property-crime,AR,16290
2018,Female,property-crime,AR,17181
2010,Unknown,property-crime,AR,40552
2011,Unknown,property-crime,AR,45355
2012,Unknown,property-crime,AR,44589
2013,Unknown,property-crime,AR,41428
2014,Unknown,property-crime,AR,37070
2015,Unknown,property-crime,AR,34918
2016,Unknown,property-crime,AR,37312
2017,Unknown,property-crime,AR,36205
2018,Unknown,property-crime,AR,33234
2010,Male,aggravated-assault,AZ,177
2011,Male,aggravated-assault,AZ,181
2012,Male,aggravated-assault,AZ,206
2013,Male,aggravated-assault,AZ,593
2014,Male,aggravated-assault,AZ,530
2015,Male,aggravated-assault,AZ,456
2016,Male,aggravated-assault,AZ,385
2017,Male,aggravated-assault,AZ,444
2018,Male,aggravated-assault,AZ,435
2010,Female,aggravated-assault,AZ,48
2011,Female,aggravated-assault,AZ,49
2012,Female,aggravated-assault,AZ,58
2013,Female,aggravated-assault,AZ,153
2014,Female,aggravated-assault,AZ,132
2015,Female,aggravated-assault,AZ,119
2016,Female,aggravated-assault,AZ,119
2017,Female,aggravated-assault,AZ,124
2018,Female,aggravated-assault,AZ,134
2010,Unknown,aggravated-assault,AZ,0
2011,Unknown,aggravated-assault,AZ,1
2012,Unknown,aggravated-assault,AZ,1
2013,Unknown,aggravated-assault,AZ,28
2014,Unknown,aggravated-assault,AZ,3
2015,Unknown,aggravated-assault,AZ,2
2016,Unknown,aggravated-assault,AZ,1
2017,Unknown,aggravated-assault,AZ,1
2018,Unknown,aggravated-assault,AZ,0
2010,Male,burglary,AZ,285
2011,Male,burglary,AZ,285
2012,Male,burglary,AZ,284
2013,Male,burglary,AZ,532
2014,Male,burglary,AZ,454
2015,Male,burglary,AZ,320
2016,Male,burglary,AZ,298
2017,Male,burglary,AZ,388
2018,Male,burglary,AZ,284
2010,Female,burglary,AZ,45
2011,Female,burglary,AZ,56
2012,Female,burglary,AZ,52
2013,Female,burglary,AZ,99
2014,Female,burglary,AZ,85
2015,Female,burglary,AZ,81
2016,Female,burglary,AZ,71
2017,Female,burglary,AZ,68
2018,Female,burglary,AZ,62
2010,Unknown,burglary,AZ,0
2011,Unknown,burglary,AZ,1
2012,Unknown,burglary,AZ,19
2013,Unknown,burglary,AZ,489
2014,Unknown,burglary,AZ,37
2015,Unknown,burglary,AZ,2
2016,Unknown,burglary,AZ,4
2017,Unknown,burglary,AZ,2
2018,Unknown,burglary,AZ,14
2010,Male,larceny,AZ,1201
2011,Male,larceny,AZ,1078
2012,Male,larceny,AZ,1108
2013,Male,larceny,AZ,2204
2014,Male,larceny,AZ,2216
2015,Male,larceny,AZ,1942
2016,Male,larceny,AZ,1584
2017,Male,larceny,AZ,1937
2018,Male,larceny,AZ,1904
2010,Female,larceny,AZ,672
2011,Female,larceny,AZ,573
2012,Female,larceny,AZ,548
2013,Female,larceny,AZ,1242
2014,Female,larceny,AZ,1197
2015,Female,larceny,AZ,1179
2016,Female,larceny,AZ,889
2017,Female,larceny,AZ,1025
2018,Female,larceny,AZ,1087
2010,Unknown,larceny,AZ,1
2011,Unknown,larceny,AZ,4
2012,Unknown,larceny,AZ,20
2013,Unknown,larceny,AZ,709
2014,Unknown,larceny,AZ,82
2015,Unknown,larceny,AZ,11
2016,Unknown,larceny,AZ,11
2017,Unknown,larceny,AZ,9
2018,Unknown,larceny,AZ,23
2010,Male,motor-vehicle-theft,AZ,67
2011,Male,motor-vehicle-theft,AZ,90
2012,Male,motor-vehicle-theft,AZ,104
2013,Male,motor-vehicle-theft,AZ,169
2014,Male,motor-vehicle-theft,AZ,219
2015,Male,motor-vehicle-theft,AZ,186
2016,Male,motor-vehicle-theft,AZ,172
2017,Male,motor-vehicle-theft,AZ,186
2018,Male,motor-vehicle-theft,AZ,206
2010,Female,motor-vehicle-theft,AZ,26
2011,Female,motor-vehicle-theft,AZ,27
2012,Female,motor-vehicle-theft,AZ,31
2013,Female,motor-vehicle-theft,AZ,68
2014,Female,motor-vehicle-theft,AZ,80
2015,Female,motor-vehicle-theft,AZ,51
2016,Female,motor-vehicle-theft,AZ,58
2017,Female,motor-vehicle-theft,AZ,64
2018,Female,motor-vehicle-theft,AZ,66
2010,Unknown,motor-vehicle-theft,AZ,0
2011,Unknown,motor-vehicle-theft,AZ,0
2012,Unknown,motor-vehicle-theft,AZ,3
2013,Unknown,motor-vehicle-theft,AZ,67
2014,Unknown,motor-vehicle-theft,AZ,9
2015,Unknown,motor-vehicle-theft,AZ,0
2016,Unknown,motor-vehicle-theft,AZ,1
2017,Unknown,motor-vehicle-theft,AZ,3
2018,Unknown,motor-vehicle-theft,AZ,0
2010,Male,homicide,AZ,13
2011,Male,homicide,AZ,15
2012,Male,homicide,AZ,5
2013,Male,homicide,AZ,14
2014,Male,homicide,AZ,8
2015,Male,homicide,AZ,9
2016,Male,homicide,AZ,6
2017,Male,homicide,AZ,20
2018,Male,homicide,AZ,13
2010,Female,homicide,AZ,0
2011,Female,homicide,AZ,3
2012,Female,homicide,AZ,2
2013,Female,homicide,AZ,7
2014,Female,homicide,AZ,2
2015,Female,homicide,AZ,4
2016,Female,homicide,AZ,5
2017,Female,homicide,AZ,8
2018,Female,homicide,AZ,8
2010,Unknown,homicide,AZ,0
2011,Unknown,homicide,AZ,0
2012,Unknown,homicide,AZ,0
2013,Unknown,homicide,AZ,0
2014,Unknown,homicide,AZ,0
2015,Unknown,homicide,AZ,0
2016,Unknown,homicide,AZ,0
2017,Unknown,homicide,AZ,0
2018,Unknown,homicide,AZ,0
2010,Male,rape,AZ,48
2011,Male,rape,AZ,34
2012,Male,rape,AZ,43
2013,Male,rape,AZ,80
2014,Male,rape,AZ,95
2015,Male,rape,AZ,106
2016,Male,rape,AZ,90
2017,Male,rape,AZ,105
2018,Male,rape,AZ,127
2010,Female,rape,AZ,3
2011,Female,rape,AZ,2
2012,Female,rape,AZ,2
2013,Female,rape,AZ,1
2014,Female,rape,AZ,2
2015,Female,rape,AZ,5
2016,Female,rape,AZ,4
2017,Female,rape,AZ,5
2018,Female,rape,AZ,6
2010,Unknown,rape,AZ,1
2011,Unknown,rape,AZ,0
2012,Unknown,rape,AZ,2
2013,Unknown,rape,AZ,4
2014,Unknown,rape,AZ,0
2015,Unknown,rape,AZ,0
2016,Unknown,rape,AZ,1
2017,Unknown,rape,AZ,1
2018,Unknown,rape,AZ,4
2010,Male,robbery,AZ,80
2011,Male,robbery,AZ,87
2012,Male,robbery,AZ,84
2013,Male,robbery,AZ,139
2014,Male,robbery,AZ,171
2015,Male,robbery,AZ,136
2016,Male,robbery,AZ,132
2017,Male,robbery,AZ,168
2018,Male,robbery,AZ,119
2010,Female,robbery,AZ,13
2011,Female,robbery,AZ,4
2012,Female,robbery,AZ,14
2013,Female,robbery,AZ,19
2014,Female,robbery,AZ,29
2015,Female,robbery,AZ,13
2016,Female,robbery,AZ,21
2017,Female,robbery,AZ,32
2018,Female,robbery,AZ,18
2010,Unknown,robbery,AZ,0
2011,Unknown,robbery,AZ,0
2012,Unknown,robbery,AZ,0
2013,Unknown,robbery,AZ,3
2014,Unknown,robbery,AZ,2
2015,Unknown,robbery,AZ,0
2016,Unknown,robbery,AZ,0
2017,Unknown,robbery,AZ,2
2018,Unknown,robbery,AZ,0
2010,Male,arson,AZ,6
2011,Male,arson,AZ,13
2012,Male,arson,AZ,5
2013,Male,arson,AZ,16
2014,Male,arson,AZ,46
2015,Male,arson,AZ,26
2016,Male,arson,AZ,22
2017,Male,arson,AZ,30
2018,Male,arson,AZ,21
2010,Female,arson,AZ,0
2011,Female,arson,AZ,3
2012,Female,arson,AZ,1
2013,Female,arson,AZ,4
2014,Female,arson,AZ,4
2015,Female,arson,AZ,6
2016,Female,arson,AZ,6
2017,Female,arson,AZ,5
2018,Female,arson,AZ,4
2010,Unknown,arson,AZ,0
2011,Unknown,arson,AZ,0
2012,Unknown,arson,AZ,0
2013,Unknown,arson,AZ,7
2014,Unknown,arson,AZ,1
2015,Unknown,arson,AZ,2
2016,Unknown,arson,AZ,0
2017,Unknown,arson,AZ,0
2018,Unknown,arson,AZ,2
2010,Male,violent-crime,AZ,318
2011,Male,violent-crime,AZ,317
2012,Male,violent-crime,AZ,338
2013,Male,violent-crime,AZ,826
2014,Male,violent-crime,AZ,804
2015,Male,violent-crime,AZ,707
2016,Male,violent-crime,AZ,613
2017,Male,violent-crime,AZ,737
2018,Male,violent-crime,AZ,694
2010,Female,violent-crime,AZ,64
2011,Female,violent-crime,AZ,58
2012,Female,violent-crime,AZ,76
2013,Female,violent-crime,AZ,180
2014,Female,violent-crime,AZ,165
2015,Female,violent-crime,AZ,141
2016,Female,violent-crime,AZ,149
2017,Female,violent-crime,AZ,169
2018,Female,violent-crime,AZ,166
2010,Unknown,violent-crime,AZ,1
2011,Unknown,violent-crime,AZ,1
2012,Unknown,violent-crime,AZ,3
2013,Unknown,violent-crime,AZ,35
2014,Unknown,violent-crime,AZ,5
2015,Unknown,violent-crime,AZ,2
2016,Unknown,violent-crime,AZ,2
2017,Unknown,violent-crime,AZ,4
2018,Unknown,violent-crime,AZ,4
2010,Male,property-crime,AZ,1559
2011,Male,property-crime,AZ,1466
2012,Male,property-crime,AZ,1501
2013,Male,property-crime,AZ,2921
2014,Male,property-crime,AZ,2935
2015,Male,property-crime,AZ,2474
2016,Male,property-crime,AZ,2076
2017,Male,property-crime,AZ,2541
2018,Male,property-crime,AZ,2415
2010,Female,property-crime,AZ,743
2011,Female,property-crime,AZ,659
2012,Female,property-crime,AZ,632
2013,Female,property-crime,AZ,1413
2014,Female,property-crime,AZ,1366
2015,Female,property-crime,AZ,1317
2016,Female,property-crime,AZ,1024
2017,Female,property-crime,AZ,1162
2018,Female,property-crime,AZ,1219
2010,Unknown,property-crime,AZ,1
2011,Unknown,property-crime,AZ,5
2012,Unknown,property-crime,AZ,42
2013,Unknown,property-crime,AZ,1272
2014,Unknown,property-crime,AZ,129
2015,Unknown,property-crime,AZ,15
